tweet_id,favorites,retweets
870063196459192321,37065,8585
869772420881756160,42875,10328
869702957897576449,28579,6510
869596645499047938,16175,3220
869227993411051520,20683,3901
868880397819494401,66499,14954
868639477480148993,0,2160
868622495443632128,27614,5947
868552278524837888,10318,2160
867900495410671616,24527,4308
867774946302451713,34501,7568
867421006826221569,16414,2598
867072653475098625,0,131
867051520902168576,32779,8154
866720684873056260,20450,5006
866686824827068416,19693,3616
866450705531457537,124534,36553
866334964761202691,53600,15027
866094527597207552,0,8680
865718153858494464,26094,5816
865359393868664832,27002,5205
865006731092295680,28552,7977
864873206498414592,32982,9078
864279568663928832,14923,3168
864197398364647424,30839,9333
863907417377173506,21073,4307
863553081350529029,15616,4344
863471782782697472,0,2581
863432100342583297,24336,5497
863427515083354112,2314,101
863079547188785154,8966,1147
863062471531167744,8739,2581
862831371563274240,19632,5286
862722525377298433,17477,3689
862457590147678208,21056,5183
862096992088072192,76508,24345
861383897657036800,36983,11169
861288531465048066,17638,4354
861005113778896900,17165,3984
860981674716409858,0,2256
860924035999428608,0,854
860563773140209665,7705,2256
860524505164394496,24236,5522
860276583193509888,18784,3637
860184849394610176,17147,6119
860177593139703809,0,32395
859924526012018688,20075,4296
859851578198683649,15815,3666
859607811541651456,19115,1653
859196978902773760,92665,31772
859074603037188101,34910,14291
858860390427611136,0,8543
858843525470990336,16004,3649
858471635011153920,22160,5088
858107933456039936,16212,3062
857989990357356544,16614,2719
857746408056729600,35340,11173
857393404942143489,6111,1720
857263160327368704,20645,4774
857214891891077121,238,20
857062103051644929,0,179
857029823797047296,19542,4224
856602993587888130,0,11299
856543823941562368,16827,3044
856526610513747968,12221,1988
856330835276025856,0,714
856288084350160898,535,17
856282028240666624,28598,6678
855862651834028034,361,28
855860136149123072,5130,1098
855857698524602368,12240,2245
855851453814013952,47020,18718
855818117272018944,27546,5772
855459453768019968,31060,8735
855245323840757760,0,6348
855138241867124737,0,49
854732716440526848,23728,6497
854482394044301312,30493,7342
854365224396361728,19651,5004
854120357044912130,33246,7994
854010172552949760,16848,3351
853760880890318849,29815,6200
853639147608842240,36436,10871
853299958564483072,16208,3816
852936405516943360,0,2168
852912242202992640,9453,1975
852672615818899456,15618,2305
852553447878664193,17142,3772
852311364735569921,34689,10627
852226086759018497,20943,7338
852189679701164033,11998,1697
851953902622658560,0,10382
851861385021730816,0,23
851591660324737024,16995,3724
851464819735769094,25465,7614
851224888060895234,21699,6169
850753642995093505,32655,10036
850380195714523136,13715,2819
850333567704068097,3586,360
850145622816686080,17177,4128
850019790995546112,21533,5297
849776966551130114,32082,8225
849668094696017920,0,5364
849412302885593088,16722,3391
849336543269576704,12048,2046
849051919805034497,44721,9231
848690551926992896,26597,4676
848324959059550208,26125,4988
848213670039564288,8629,812
848212111729840128,17265,3340
847978865427394560,0,3534
847971574464610304,0,466
847962785489326080,24811,5556
847842811428974592,5801,1466
847617282490613760,7410,456
847606175596138505,19816,3669
847251039262605312,21593,4653
847157206088847362,21132,6361
847116187444137987,22665,3466
846874817362120707,21262,4273
846514051647705089,47328,12632
846505985330044928,14985,3370
846153765933735936,33643,9865
846139713627017216,32665,10698
846042936437604353,16938,3137
845812042753855489,31063,9536
845677943972139009,26621,5210
845397057150107648,8088,1988
845306882940190720,24745,5870
845098359547420673,0,8382
844979544864018432,14468,2825
844973813909606400,16060,3511
844704788403113984,41147,11299
844580511645339650,17489,3425
844223788422217728,14466,2393
843981021012017153,16035,3189
843856843873095681,22733,5055
843604394117681152,17943,2990
843235543001513987,22853,6622
842846295480000512,16165,3915
842765311967449089,7180,1398
842535590457499648,19245,3825
842163532590374912,26071,6348
842115215311396866,14917,3307
841833993020538882,0,16890
841680585030541313,27292,8491
841439858740625411,13465,4029
841320156043304961,21036,5943
841314665196081154,16932,5156
841077006473256960,24432,5814
840761248237133825,0,1925
840728873075638272,0,17804
840698636975636481,194,3
840696689258311684,13124,1085
840632337062862849,9580,1925
840370681858686976,17572,5010
840268004936019968,20562,6292
839990271299457024,14342,2527
839549326359670784,29406,8543
839290600511926273,0,155
839239871831150596,29060,7204
838952994649550848,20965,4381
838921590096166913,11935,2284
838916489579200512,0,37
838831947270979586,0,12206
838561493054533637,11662,1463
838476387338051585,24191,5313
838201503651401729,0,11154
838150277551247360,1791,358
838085839343206401,149,0
838083903487373313,18856,3467
837820167694528512,36577,8680
837482249356513284,4114,488
837471256429613056,13710,2550
837366284874571778,22618,5837
837110210464448512,17133,2645
836989968035819520,13624,2537
836753516572119041,20603,5090
836677758902222849,13500,2448
836648853927522308,0,607
836397794269200385,0,30449
836380477523124226,15751,3241
836260088725786625,22750,4731
836001077879255040,20481,4759
835685285446955009,0,9039
835574547218894849,19082,4004
835536468978302976,0,1879
835309094223372289,0,23258
835297930240217089,17551,3301
835264098648616962,8328,1879
835246439529840640,2234,81
835172783151792128,28005,6351
835152434251116546,24084,3350
834931633769889797,11614,1823
834786237630337024,22627,6032
834574053763584002,14709,2803
834477809192075265,0,11803
834458053273591808,10300,1852
834209720923721728,22122,5301
834167344700198914,16894,4016
834089966724603904,10779,2352
834086379323871233,14004,2450
833863086058651648,14383,2659
833826103416520705,16457,3807
833732339549220864,0,241
833722901757046785,22190,3546
833479644947025920,15963,2287
833124694597443584,21699,5364
832998151111966721,14297,2454
832769181346996225,0,42
832757312314028032,18061,4014
832682457690300417,12767,3266
832645525019123713,3141,576
832636094638288896,17053,3106
832397543355072512,12856,2472
832369877331693569,18438,3534
832273440279240704,12144,2591
832215909146226688,0,6871
832215726631055365,0,10397
832088576586297345,72,2
832040443403784192,0,10802
832032802820481025,19222,5173
831939777352105988,25829,6826
831926988323639298,367,36
831911600680497154,29760,7249
831670449226514432,11238,2013
831650051525054464,7728,2168
831552930092285952,9691,2555
831322785565769729,9870,1696
831315979191906304,6994,1233
831309418084069378,12592,2708
831262627380748289,12820,2282
830956169170665475,8579,1675
830583320585068544,72062,18740
830173239259324417,0,6344
830097400375152640,10584,3348
829878982036299777,0,5587
829861396166877184,13182,2183
829501995190984704,34192,11803
829449946868879360,11292,2265
829374341691346946,37353,10382
829141528400556032,26424,8253
829011960981237760,57112,18071
828801551087042563,0,3786
828770345708580865,27562,6546
828708714936930305,39468,12495
828650029636317184,10264,1494
828409743546925057,6771,1277
828408677031882754,8251,1427
828381636999917570,13616,2476
828376505180889089,7979,1184
828372645993398273,13514,3257
828361771580813312,2366,190
828046555563323392,12698,3184
828011680017821696,11171,2386
827933404142436356,21754,5826
827653905312006145,16675,3344
827600520311402496,8010,1053
827324948884643840,17147,3408
827199976799354881,11429,2502
826958653328592898,23334,5587
826848821049180160,39473,11464
826615380357632002,0,4392
826598799820865537,5533,283
826598365270007810,10886,2617
826476773533745153,19904,4684
826240494070030336,14339,2889
826204788643753985,5266,1048
826115272272650244,16944,3494
825876512159186944,11313,2090
825829644528148480,13764,2780
825535076884762624,56248,19209
825147591692263424,19804,5111
825120256414846976,0,1441
825026590719483904,6883,1441
824796380199809024,0,6133
824775126675836928,16202,3944
824663926340194305,10904,1943
824325613288833024,12755,11595
824297048279236611,16273,4321
824025158776213504,5167,665
823939628516474880,11533,3030
823719002937630720,0,12605
823699002998870016,13613,2701
823581115634085888,14114,2962
823333489516937216,759,29
823322678127919110,17075,4510
823269594223824897,0,11046
822975315408461824,18756,3853
822872901745569793,143526,49199
822859134160621569,14302,2555
822647212903690241,0,7173
822610361945911296,16001,3316
822489057087389700,19681,7173
822462944365645825,31053,16574
822244816520155136,38013,11046
822163064745328640,0,5401
821886076407029760,12340,2630
821813639212650496,0,3744
821765923262631936,9151,1864
821522889702862852,8698,1980
821421320206483457,0,6269
821407182352777218,12810,4894
821153421864615936,276,10
821149554670182400,9493,2262
821107785811234820,10434,2393
821044531881721856,13721,2565
820837357901512704,0,7504
820749716845686786,34289,11154
820690176645140481,13268,3619
820494788566847489,0,632
820446719150292993,0,2900
820314633777061888,3625,632
820078625395449857,21501,7049
820013781606658049,0,1327
819952236453363712,5790,1327
819924195358416896,13986,5437
819711362133872643,14612,3520
819588359383371776,10389,2208
819347104292290561,7855,1348
819238181065359361,2494,453
819227688460238848,25119,7504
819015337530290176,0,41063
819015331746349057,0,21186
819006400881917954,49025,21186
819004803107983360,93781,41063
818646164899774465,0,23413
818627210458333184,24136,8349
818614493328580609,10736,2897
818588835076603904,0,6921
818536468981415936,11889,2784
818307523543449600,0,9116
818259473185828864,11975,2558
818145370475810820,13390,2918
817908911860748288,5256,887
817827839487737858,56460,30449
817777686764523521,11640,2995
817536400337801217,12842,3407
817502432452313088,0,3811
817423860136083457,37313,16890
817415592588222464,6121,1081
817181837579653120,0,9566
817171292965273600,9500,2258
817120970343411712,13211,2941
817056546584727552,9328,1855
816829038950027264,0,5313
816816676327063552,10882,2291
816697700272001025,10669,2471
816450570814898180,33316,9116
816336735214911488,9373,2201
816091915477250048,9723,2421
816062466425819140,0,1178
816014286006976512,0,5981
815990720817401858,5443,1178
815966073409433600,24501,9566
815745968457060357,0,4645
815736392542261248,10717,2551
815639385530101762,8969,1849
815390420867969024,11254,4277
814986499976527872,8323,1454
814638523311648768,12288,3049
814578408554463233,0,6553
814530161257443328,9451,2090
814153002265309185,31349,9782
813944609378369540,0,3635
813910438903693312,10126,2118
813812741911748608,39626,15780
813800681631023104,9108,1984
813217897535406080,20379,8208
813202720496779264,9998,2024
813187593374461952,21646,4915
813172488309972993,10191,2167
813157409116065792,8443,2491
813142292504645637,9176,2654
813130366689148928,4871,499
813127251579564032,12956,3537
813112105746448384,11271,3110
813096984823349248,11479,4077
813081950185472002,10782,3119
813066809284972545,8676,2187
813051746834595840,22854,8244
812781120811126785,8254,2152
